Date,Description,Amount,Category,Status
2024-05-27,Shell Oil,-53.64,Transportation,posted
2024-05-28,Amazon,-175.24,Shopping,posted
2024-05-28,McDonald's,-11.21,Coffee & Dining,posted
2024-05-29,McDonald's,-11.89,Coffee & Dining,posted
2024-05-30,Uber Eats,-30.89,Coffee & Dining,posted
2024-05-31,Target,-63.83,Shopping,posted
2024-05-31,Uber Eats,-26.68,Coffee & Dining,posted
2024-05-31,Chevron Gas,-33.31,Transportation,posted
2024-06-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-06-01,Acme Properties,-1500.0,Rent,posted
2024-06-01,Target,-51.69,Shopping,posted
2024-06-02,Amazon,-51.78,Shopping,posted
2024-06-03,Kroger,-65.78,Groceries,posted
2024-06-05,Netflix,-15.49,Entertainment,posted
2024-06-07,Walmart,-138.8,Groceries,posted
2024-06-07,Starbucks,-4.11,Coffee & Dining,posted
2024-06-08,McDonald's,-9.94,Coffee & Dining,posted
2024-06-08,Chevron Gas,-59.44,Transportation,posted
2024-06-10,Spotify Premium,-10.99,Entertainment,posted
2024-06-12,Amazon,-172.56,Shopping,posted
2024-06-12,McDonald's,-14.32,Coffee & Dining,posted
2024-06-13,Shell Oil,-53.04,Transportation,posted
2024-06-14,Target,-94.98,Shopping,posted
2024-06-14,Target,-41.65,Shopping,posted
2024-06-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-06-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-06-15,Uber Eats,-40.36,Coffee & Dining,posted
2024-06-15,Kroger,-50.72,Groceries,posted
2024-06-17,Starbucks,-4.64,Coffee & Dining,posted
2024-06-18,Adobe Creative Cloud,-54.99,Software,posted
2024-06-19,McDonald's,-10.06,Coffee & Dining,posted
2024-06-19,Shell Oil,-63.84,Transportation,posted
2024-06-20,Power & Light Corp,-129.01,Utilities,posted
2024-06-20,City Water District,-48.02,Utilities,posted
2024-06-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-06-20,Chevron Gas,-61.91,Transportation,posted
2024-06-21,Starbucks,-8.78,Coffee & Dining,posted
2024-06-21,Amazon,-168.58,Shopping,posted
2024-06-21,Target,-67.78,Shopping,posted
2024-06-22,Amazon,-46.59,Shopping,posted
2024-06-23,Kroger,-24.08,Groceries,posted
2024-06-23,McDonald's,-12.81,Coffee & Dining,posted
2024-06-24,Uber Eats,-50.81,Coffee & Dining,posted
2024-06-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-06-25,Starbucks,-7.85,Coffee & Dining,posted
2024-06-27,Chevron Gas,-55.69,Transportation,posted
2024-06-28,Walmart,-116.52,Groceries,posted
2024-06-29,Kroger,-26.43,Groceries,posted
2024-07-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-07-01,Acme Properties,-1500.0,Rent,posted
2024-07-01,Uber Eats,-54.87,Coffee & Dining,posted
2024-07-02,Uber Eats,-53.31,Coffee & Dining,posted
2024-07-03,Walmart,-59.95,Groceries,posted
2024-07-05,Netflix,-15.49,Entertainment,posted
2024-07-05,Amazon,-163.83,Shopping,posted
2024-07-05,Walmart,-142.47,Groceries,posted
2024-07-05,Uber Eats,-45.37,Coffee & Dining,posted
2024-07-06,McDonald's,-13.81,Coffee & Dining,posted
2024-07-07,Amazon,-28.27,Shopping,posted
2024-07-08,Starbucks,-8.21,Coffee & Dining,posted
2024-07-09,Starbucks,-8.14,Coffee & Dining,posted
2024-07-09,Uber Eats,-35.67,Coffee & Dining,posted
2024-07-10,Spotify Premium,-10.99,Entertainment,posted
2024-07-12,Amazon,-115.59,Shopping,posted
2024-07-12,Target,-62.87,Shopping,posted
2024-07-13,Target,-88.15,Shopping,posted
2024-07-14,Walmart,-102.78,Groceries,posted
2024-07-14,Amazon,-12.95,Shopping,posted
2024-07-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-07-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-07-15,McDonald's,-10.94,Coffee & Dining,posted
2024-07-17,McDonald's,-12.36,Coffee & Dining,posted
2024-07-17,Kroger,-25.16,Groceries,posted
2024-07-18,Adobe Creative Cloud,-54.99,Software,posted
2024-07-19,Starbucks,-7.95,Coffee & Dining,posted
2024-07-19,Kroger,-24.99,Groceries,posted
2024-07-20,Power & Light Corp,-105.14,Utilities,posted
2024-07-20,City Water District,-45.97,Utilities,posted
2024-07-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-07-20,Kroger,-46.68,Groceries,posted
2024-07-20,Chevron Gas,-36.26,Transportation,posted
2024-07-20,Kroger,-101.53,Groceries,posted
2024-07-21,McDonald's,-14.6,Coffee & Dining,posted
2024-07-22,McDonald's,-10.1,Coffee & Dining,posted
2024-07-23,Uber Eats,-26.93,Coffee & Dining,posted
2024-07-24,Kroger,-77.92,Groceries,posted
2024-07-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-07-25,Starbucks,-4.43,Coffee & Dining,posted
2024-07-26,Kroger,-82.6,Groceries,posted
2024-07-26,Chevron Gas,-42.82,Transportation,posted
2024-07-27,Uber Eats,-38.21,Coffee & Dining,posted
2024-07-27,McDonald's,-10.54,Coffee & Dining,posted
2024-07-27,McDonald's,-14.94,Coffee & Dining,posted
2024-07-29,Amazon,-130.19,Shopping,posted
2024-07-29,Kroger,-111.01,Groceries,posted
2024-07-30,Chevron Gas,-39.44,Transportation,posted
2024-07-31,Amazon,-94.65,Shopping,posted
2024-08-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-08-01,Acme Properties,-1500.0,Rent,posted
2024-08-02,Starbucks,-4.75,Coffee & Dining,posted
2024-08-02,Target,-41.41,Shopping,posted
2024-08-02,Shell Oil,-41.9,Transportation,posted
2024-08-03,Chevron Gas,-41.3,Transportation,posted
2024-08-04,Kroger,-94.67,Groceries,posted
2024-08-04,Starbucks,-8.73,Coffee & Dining,posted
2024-08-05,Netflix,-15.49,Entertainment,posted
2024-08-05,Target,-52.5,Shopping,posted

2024-08-06,Starbucks,-6.92,Coffee & Dining,posted
2024-08-07,Kroger,-73.68,Groceries,posted
2024-08-09,Chevron Gas,-40.77,Transportation,posted
2024-08-09,Shell Oil,-63.46,Transportation,posted
2024-08-09,Shell Oil,-46.42,Transportation,posted
2024-08-10,Spotify Premium,-10.99,Entertainment,posted
2024-08-10,Walmart,-55.75,Groceries,posted
2024-08-11,Uber Eats,-54.45,Coffee & Dining,posted
2024-08-12,Shell Oil,-62.83,Transportation,posted
2024-08-13,Amazon,-186.44,Shopping,posted
2024-08-13,Uber Eats,-44.59,Coffee & Dining,posted
2024-08-14,McDonald's,-9.03,Coffee & Dining,posted
2024-08-14,Target,-24.22,Shopping,posted
2024-08-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-08-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-08-15,Target,-93.26,Shopping,posted
2024-08-16,McDonald's,-14.84,Coffee & Dining,posted
2024-08-16,Amazon,-191.51,Shopping,posted
2024-08-17,Shell Oil,-47.58,Transportation,posted
2024-08-17,Uber Eats,-30.13,Coffee & Dining,posted
2024-08-17,Target,-73.65,Shopping,posted
2024-08-18,Adobe Creative Cloud,-54.99,Software,posted
2024-08-18,Shell Oil,-45.34,Transportation,posted
2024-08-18,McDonald's,-8.96,Coffee & Dining,posted
2024-08-20,Power & Light Corp,-121.53,Utilities,posted
2024-08-20,City Water District,-38.03,Utilities,posted
2024-08-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-08-20,Chevron Gas,-36.89,Transportation,posted
2024-08-20,Amazon,-40.11,Shopping,posted
2024-08-21,Shell Oil,-52.91,Transportation,posted
2024-08-22,Chevron Gas,-48.87,Transportation,posted
2024-08-23,Kroger,-91.93,Groceries,posted
2024-08-23,Chevron Gas,-58.58,Transportation,posted
2024-08-24,Walmart,-65.81,Groceries,posted
2024-08-24,Shell Oil,-60.95,Transportation,posted
2024-08-24,Target,-26.6,Shopping,posted
2024-08-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-08-25,Starbucks,-4.96,Coffee & Dining,posted
2024-08-26,Starbucks,-4.88,Coffee & Dining,posted
2024-08-27,Amazon,-102.06,Shopping,posted
2024-08-28,Target,-39.86,Shopping,posted
2024-08-29,Starbucks,-8.42,Coffee & Dining,posted
2024-08-29,Walmart,-80.35,Groceries,posted
2024-08-30,Shell Oil,-44.34,Transportation,posted
2024-08-30,Chevron Gas,-59.66,Transportation,posted
2024-08-31,Walmart,-101.54,Groceries,posted
2024-09-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-09-01,Acme Properties,-1500.0,Rent,posted
2024-09-04,Starbucks,-3.75,Coffee & Dining,posted
2024-09-05,Netflix,-15.49,Entertainment,posted
2024-09-05,Starbucks,-3.74,Coffee & Dining,posted
2024-09-05,Chevron Gas,-53.27,Transportation,posted
2024-09-06,McDonald's,-14.1,Coffee & Dining,posted
2024-09-06,Starbucks,-6.48,Coffee & Dining,posted
2024-09-06,Target,-65.35,Shopping,posted
2024-09-07,Chevron Gas,-42.98,Transportation,posted
2024-09-07,Chevron Gas,-52.04,Transportation,posted
2024-09-08,Chevron Gas,-57.33,Transportation,posted
2024-09-08,Chevron Gas,-44.68,Transportation,posted
2024-09-09,Chevron Gas,-52.61,Transportation,posted
2024-09-10,Spotify Premium,-10.99,Entertainment,posted
2024-09-10,Chevron Gas,-45.06,Transportation,posted
2024-09-11,Kroger,-65.4,Groceries,posted
2024-09-12,Chevron Gas,-40.15,Transportation,posted
2024-09-13,Walmart,-33.19,Groceries,posted
2024-09-13,Chevron Gas,-63.56,Transportation,posted
2024-09-14,Chevron Gas,-48.65,Transportation,posted
2024-09-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-09-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-09-15,Starbucks,-6.81,Coffee & Dining,posted
2024-09-15,Kroger,-96.39,Groceries,posted
2024-09-16,Target,-85.92,Shopping,posted
2024-09-16,McDonald's,-9.97,Coffee & Dining,posted
2024-09-17,Amazon,-122.6,Shopping,posted
2024-09-18,Adobe Creative Cloud,-54.99,Software,posted
2024-09-20,Power & Light Corp,-120.93,Utilities,posted
2024-09-20,City Water District,-38.23,Utilities,posted
2024-09-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-09-20,Chevron Gas,-61.49,Transportation,posted
2024-09-20,McDonald's,-14.96,Coffee & Dining,posted
2024-09-20,Amazon,-73.42,Shopping,posted
2024-09-21,Target,-52.42,Shopping,posted
2024-09-22,Amazon,-88.88,Shopping,posted
2024-09-22,McDonald's,-10.11,Coffee & Dining,posted
2024-09-23,Walmart,-143.38,Groceries,posted
2024-09-23,Walmart,-71.02,Groceries,posted
2024-09-24,Walmart,-53.79,Groceries,posted
2024-09-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-09-25,Shell Oil,-61.18,Transportation,posted
2024-09-25,McDonald's,-13.77,Coffee & Dining,posted
",,,",,,,
2024-09-26,Walmart,-26.86,Groceries,posted
2024-09-27,Uber Eats,-27.53,Coffee & Dining,posted
2024-09-27,Starbucks,-7.71,Coffee & Dining,posted
2024-09-27,Shell Oil,-40.15,Transportation,posted
2024-09-28,Starbucks,-4.74,Coffee & Dining,posted
2024-09-28,Amazon,-18.75,Shopping,posted
2024-09-30,Kroger,-102.22,Groceries,posted
2024-10-01,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-10-01,Acme Properties,-1500.0,Rent,posted
2024-10-01,Amazon,-140.72,Shopping,posted
2024-10-02,Uber Eats,-54.02,Coffee & Dining,posted
2024-10-03,Walmart,-27.23,Groceries,posted
2024-10-04,Shell Oil,-64.92,Transportation,posted
2024-10-04,Target,-61.34,Shopping,posted
2024-10-04,Uber Eats,-43.5,Coffee & Dining,posted
2024-10-05,Netflix,-15.49,Entertainment,posted
2024-10-05,Target,-39.77,Shopping,posted
2024-10-05,Uber Eats,-33.39,Coffee & Dining,posted
2024-10-07,McDonald's,-8.66,Coffee & Dining,posted
2024-10-08,Uber Eats,-56.83,Coffee & Dining,posted
2024-10-08,Chevron Gas,-63.72,Transportation,posted
2024-10-10,Spotify Premium,-10.99,Entertainment,posted
2024-10-10,Walmart,-107.51,Groceries,posted
2024-10-11,Kroger,-89.47,Groceries,posted
2024-10-11,Chevron Gas,-50.42,Transportation,posted
2024-10-11,Amazon,-24.22,Shopping,posted
2024-10-12,Kroger,-53.08,Groceries,posted
2024-10-12,Starbucks,-5.35,Coffee & Dining,posted
2024-10-12,Chevron Gas,-33.25,Transportation,posted
2024-10-13,Amazon,-21.93,Shopping,posted

2024-10-14,Target,-20.74,Shopping,posted
2024-10-15,Revonix Corp - Direct Deposit,2500.0,Income,posted
2024-10-15,GitHub Copilot,-10.0,Developer Tools,posted
2024-10-15,Chevron Gas,-53.15,Transportation,posted
2024-10-16,Starbucks,-7.9,Coffee & Dining,posted
2024-10-18,Adobe Creative Cloud,-54.99,Software,posted
2024-10-18,Chevron Gas,-61.07,Transportation,posted
2024-10-18,McDonald's,-13.18,Coffee & Dining,posted
2024-10-19,Kroger,-98.59,Groceries,posted
2024-10-19,Chevron Gas,-36.51,Transportation,posted
2024-10-19,Starbucks,-5.36,Coffee & Dining,posted
2024-10-20,Power & Light Corp,-142.79,Utilities,posted
2024-10-20,City Water District,-33.7,Utilities,posted
2024-10-20,Global Telecom (Cell),-75.0,Utilities,posted
2024-10-20,Chevron Gas,-52.46,Transportation,posted
2024-10-23,Shell Oil,-67.91,Transportation,posted
2024-10-23,Amazon,-117.34,Shopping,posted
2024-10-24,Uber Eats,-54.35,Coffee & Dining,posted
2024-10-25,Gold's Gym,-45.0,Health & Fitness,posted
2024-10-25,Uber Eats,-35.79,Coffee & Dining,posted
2024-10-25,Shell Oil,-44.71,Transportation,posted
2024-10-25,Walmart,-110.79,Groceries,posted
2024-10-26,Chevron Gas,-56.32,Transportation,posted
